opcode,count,share_pct
GetNamedProperty,2458,17.232193
SetNamedProperty,678,4.753225
Ldar,596,4.178351
LdaImmutableCurrentContextSlot,578,4.052159
LdaConstant,512,3.589456
TestEqualStrict,442,3.09871
Star1,407,2.853337
Star,403,2.825294
JumpIfFalse,390,2.734156
Star3,389,2.727145
Star0,385,2.699103
Return,364,2.551879
CreateClosure,361,2.530847
CallProperty1,345,2.418676
Star2,344,2.411666
LdaSmi,338,2.369602
Star4,326,2.285474
Mov,320,2.24341
JumpIfToBooleanFalse,302,2.117218
CallProperty2,274,1.92092
Star5,271,1.899888
Star6,245,1.717611
Star9,211,1.479248
CallProperty0,208,1.458216
Jump,194,1.360067
JumpIfTrue,181,1.268929
JumpIfToBooleanTrue,153,1.07263
Star7,144,1.009534
DefineNamedOwnProperty,130,0.911385
Star12,124,0.869321
Star10,122,0.8553
LdaFalse,121,0.848289
Star11,114,0.799215
Star8,113,0.792204
StaCurrentContextSlot,110,0.771172
LdaZero,109,0.764162
LdaTrue,105,0.736119
TestGreaterThanOrEqual,95,0.666012
Add,93,0.651991
LdaUndefined,70,0.490746
CallProperty,65,0.455693
GetKeyedProperty,64,0.448682
CallUndefinedReceiver2,59,0.413629
Construct,59,0.413629
CallUndefinedReceiver1,52,0.364554
LdaGlobal,49,0.343522
TestLessThan,46,0.32249
CreateObjectLiteral,45,0.31548
LdaNull,42,0.294448
AddSmi,41,0.287437
JumpLoop,41,0.287437
Star13,40,0.280426
Inc,38,0.266405
JumpIfTrueConstant,38,0.266405
Star14,36,0.252384
TestGreaterThan,31,0.21733
BitwiseAnd,24,0.168256
ToBooleanLogicalNot,22,0.154234
CreateEmptyArrayLiteral,21,0.147224
SubSmi,21,0.147224
Star15,19,0.133202
JumpConstant,18,0.126192
SetKeyedProperty,17,0.119181
DefineKeyedOwnProperty,15,0.10516
BitwiseOr,14,0.098149
ToBoolean,14,0.098149
TestTypeOf,13,0.091139
CreateRegExpLiteral,13,0.091139
JumpIfNotUndefined,11,0.077117
CreateArrayLiteral,10,0.070107
TestLessThanOrEqual,10,0.070107
CreateEmptyObjectLiteral,9,0.063096
LdaGlobalInsideTypeof,8,0.056085
LdaImmutableContextSlot,8,0.056085
TestUndetectable,8,0.056085
LogicalNot,7,0.049075
TestReferenceEqual,7,0.049075
PushContext,6,0.042064
Sub,6,0.042064
StaInArrayLiteral,6,0.042064
Dec,6,0.042064
CreateFunctionContext,5,0.035053
ToString,5,0.035053
JumpIfFalseConstant,4,0.028043
StaCurrentScriptContextSlot,3,0.021032
Mul,3,0.021032
JumpIfUndefinedOrNull,3,0.021032
GetEnumeratedKeyedProperty,3,0.021032
LdaTheHole,3,0.021032
SetPendingMessage,3,0.021032
DeletePropertyStrict,3,0.021032
JumpIfToBooleanFalseConstant,3,0.021032
ShiftRightLogicalSmi,2,0.014021
ToObject,2,0.014021
ForInEnumerate,2,0.014021
ForInPrepare,2,0.014021
JumpIfForInDone,2,0.014021
ForInNext,2,0.014021
JumpIfUndefined,2,0.014021
ForInStep,2,0.014021
Throw,2,0.014021
JumpIfNotNull,2,0.014021
JumpIfJSReceiver,2,0.014021
CallRuntime,2,0.014021
ReThrow,2,0.014021
Mod,1,0.007011
LdaContextSlot,1,0.007011
StaContextSlot,1,0.007011
JumpIfNull,1,0.007011
ShiftLeftSmi,1,0.007011
CallUndefinedReceiver0,1,0.007011
CreateCatchContext,1,0.007011
TestInstanceOf,1,0.007011
PopContext,1,0.007011
TestNull,1,0.007011
BitwiseOrSmi,1,0.007011
SwitchOnSmiNoFeedback,1,0.007011
TestUndefined,1,0.007011
JumpIfToBooleanTrueConstant,1,0.007011
ToNumeric,1,0.007011
GetIterator,1,0.007011
