opcode,outgoing_dispatches,incoming_dispatches,execution_lower_bound,boundary_uncertainty,outgoing_share_pct,handler_cpu_samples,handler_share_of_all_cpu_samples_pct,handler_share_of_interpreter_samples_pct,handler_share_of_js_execution_samples_pct,estimated_handler_cpu_ms
GetNamedProperty,19620,17526,19620,2094,19.592375,0,,,,
Star0,9684,205,9684,9479,9.670365,0,,,,
TestEqualStrict,6136,6136,6136,0,6.12736,0,,,,
Mov,5850,5707,5850,143,5.841763,0,,,,
Ldar,5621,5069,5621,552,5.613086,0,,,,
JumpIfTrue,5591,5591,5591,0,5.583128,0,,,,
LdaConstant,5370,5347,5370,23,5.362439,0,,,,
JumpIfToBooleanFalse,3311,2352,3311,959,3.306338,0,,,,
JumpIfToBooleanTrue,3211,2831,3211,380,3.206479,0,,,,
JumpIfFalse,3095,3095,3095,0,3.090642,0,,,,
JumpLoop,2897,2040,2897,857,2.892921,0,,,,
LdaImmutableCurrentContextSlot,2640,2472,2640,168,2.636283,0,,,,
LdaFalse,2494,2459,2494,35,2.490488,0,,,,
LdaTrue,2159,2132,2159,27,2.15596,0,,,,
LdaSmi,2136,2037,2136,99,2.132992,0,,,,
JumpIfJSReceiver,1743,1743,1743,0,1.740546,0,,,,
SetNamedProperty,1714,1435,1714,279,1.711587,0,,,,
GetKeyedProperty,1388,1388,1388,0,1.386046,0,,,,
Star,1138,1104,1138,34,1.136398,0,,,,
TestTypeOf,999,999,999,0,0.997593,0,,,,
LdaZero,942,923,942,19,0.940674,0,,,,
Wide,936,929,936,7,0.934682,0,,,,
TestGreaterThanOrEqual,871,871,871,0,0.869774,0,,,,
JumpIfToBooleanFalseConstant,826,819,826,7,0.824837,0,,,,
Jump,805,752,805,53,0.803867,0,,,,
TestLessThan,679,679,679,0,0.678044,0,,,,
LdaGlobal,590,583,590,7,0.589169,0,,,,
Add,560,550,560,10,0.559212,0,,,,
JumpConstant,553,553,553,0,0.552221,0,,,,
LdaUndefined,488,386,488,102,0.487313,0,,,,
SetKeyedProperty,484,484,484,0,0.483319,0,,,,
AddSmi,392,392,392,0,0.391448,0,,,,
Inc,392,392,392,0,0.391448,0,,,,
LdaImmutableContextSlot,388,388,388,0,0.387454,0,,,,
TestReferenceEqual,249,249,249,0,0.248649,0,,,,
LdaTheHole,241,241,241,0,0.240661,0,,,,
GetIterator,241,241,241,0,0.240661,0,,,,
JumpIfTrueConstant,239,239,239,0,0.238663,0,,,,
JumpIfForInDone,228,228,228,0,0.227679,0,,,,
BitwiseAnd,217,217,217,0,0.216694,0,,,,
GetEnumeratedKeyedProperty,214,214,214,0,0.213699,0,,,,
ForInStep,214,214,214,0,0.213699,0,,,,
JumpIfUndefined,214,214,214,0,0.213699,0,,,,
ForInNext,214,214,214,0,0.213699,0,,,,
ToString,180,180,180,0,0.179747,0,,,,
LdaNull,158,140,158,18,0.157778,0,,,,
SubSmi,151,151,151,0,0.150787,0,,,,
TestGreaterThan,147,147,147,0,0.146793,0,,,,
Dec,142,142,142,0,0.1418,0,,,,
BitwiseOr,133,133,133,0,0.132813,0,,,,
CreateEmptyArrayLiteral,131,96,131,35,0.130816,0,,,,
ExtraWide,110,110,110,0,0.109845,0,,,,
Construct,100,100,100,0,0.099859,0,,,,
TestLessThanOrEqual,97,97,97,0,0.096863,0,,,,
StaCurrentContextSlot,70,50,70,20,0.069901,0,,,,
ToBooleanLogicalNot,64,50,64,14,0.06391,0,,,,
DefineNamedOwnProperty,58,29,58,29,0.057918,0,,,,
TestUndetectable,54,54,54,0,0.053924,0,,,,
JumpIfNotUndefined,49,49,49,0,0.048931,0,,,,
LogicalNot,45,45,45,0,0.044937,0,,,,
ToBoolean,43,43,43,0,0.042939,0,,,,
PushContext,39,39,39,0,0.038945,0,,,,
CreateFunctionContext,39,0,39,39,0.038945,0,,,,
JumpIfFalseConstant,31,31,31,0,0.030956,0,,,,
CreateObjectLiteral,31,22,31,9,0.030956,0,,,,
CreateClosure,30,30,30,0,0.029958,0,,,,
Sub,26,26,26,0,0.025963,0,,,,
Mul,26,26,26,0,0.025963,0,,,,
BitwiseOrSmi,20,20,20,0,0.019972,0,,,,
ShiftRightLogicalSmi,20,20,20,0,0.019972,0,,,,
SwitchOnSmiNoFeedback,20,20,20,0,0.019972,0,,,,
ForInEnumerate,14,14,14,0,0.01398,0,,,,
JumpIfUndefinedOrNull,14,14,14,0,0.01398,0,,,,
CreateEmptyObjectLiteral,14,14,14,0,0.01398,0,,,,
ToObject,14,14,14,0,0.01398,0,,,,
ForInPrepare,14,14,14,0,0.01398,0,,,,
CreateRegExpLiteral,13,13,13,0,0.012982,0,,,,
TestNull,13,13,13,0,0.012982,0,,,,
CreateArrayLiteral,10,0,10,10,0.009986,0,,,,
StaInArrayLiteral,10,10,10,0,0.009986,0,,,,
JumpIfNull,10,10,10,0,0.009986,0,,,,
JumpIfNotNull,9,0,9,9,0.008987,0,,,,
JumpIfToBooleanTrueConstant,7,7,7,0,0.00699,0,,,,
TestUndefined,6,6,6,0,0.005992,0,,,,
ToNumeric,2,2,2,0,0.001997,0,,,,
StaCurrentScriptContextSlot,2,0,2,2,0.001997,0,,,,
DeletePropertyStrict,1,1,1,0,0.000999,0,,,,
Star12,0,4,4,4,0.0,0,,,,
CallUndefinedReceiver2,0,325,325,325,0.0,0,,,,
Star13,0,5,5,5,0.0,0,,,,
Star3,0,187,187,187,0.0,0,,,,
Star11,0,314,314,314,0.0,0,,,,
Star9,0,308,308,308,0.0,0,,,,
CallProperty,0,377,377,377,0.0,0,,,,
CallProperty0,0,3521,3521,3521,0.0,0,,,,
CallUndefinedReceiver1,0,119,119,119,0.0,0,,,,
CallProperty2,0,718,718,718,0.0,0,,,,
Star8,0,89,89,89,0.0,0,,,,
CallProperty1,0,3320,3320,3320,0.0,0,,,,
Star14,0,7,7,7,0.0,0,,,,
Return,0,1516,1516,1516,0.0,0,,,,
Star7,0,95,95,95,0.0,0,,,,
Star2,0,315,315,315,0.0,0,,,,
Star10,0,3493,3493,3493,0.0,0,,,,
Star4,0,115,115,115,0.0,0,,,,
CallUndefinedReceiver0,0,135,135,135,0.0,0,,,,
Star15,0,25,25,25,0.0,0,,,,
Star6,0,106,106,106,0.0,0,,,,
Star5,0,46,46,46,0.0,0,,,,
Star1,0,379,379,379,0.0,0,,,,
