opcode,outgoing_dispatches,incoming_dispatches,execution_lower_bound,boundary_uncertainty,outgoing_share_pct,handler_cpu_samples,handler_share_of_all_cpu_samples_pct,handler_share_of_interpreter_samples_pct,handler_share_of_js_execution_samples_pct,estimated_handler_cpu_ms
GetNamedProperty,36079232,31287272,36079232,4791960,24.893989,0,,,,
Star0,9747432,404682,9747432,9342750,6.725544,0,,,,
Ldar,8946671,7566194,8946671,1380477,6.173034,0,,,,
LdaSmi,8383700,7711620,8383700,672080,5.784595,0,,,,
JumpIfFalse,7617558,7617558,7617558,0,5.255971,0,,,,
TestEqualStrict,7475340,7475340,7475340,0,5.157844,0,,,,
JumpIfTrue,6089100,6089100,6089100,0,4.201364,0,,,,
Mov,5874920,5869140,5874920,5780,4.053584,0,,,,
JumpIfToBooleanFalse,5754103,4519903,5754103,1234200,3.970223,0,,,,
SetNamedProperty,5744720,5306740,5744720,437980,3.963748,0,,,,
LdaImmutableCurrentContextSlot,4304431,3796651,4304431,507780,2.969976,0,,,,
TestLessThan,3898578,3898578,3898578,0,2.689945,0,,,,
LdaConstant,3551850,3399910,3551850,151940,2.450709,0,,,,
JumpIfToBooleanTrue,2849460,2519700,2849460,329760,1.966074,0,,,,
LdaFalse,2388020,2254100,2388020,133920,1.647689,0,,,,
JumpLoop,2289976,1779436,2289976,510540,1.58004,0,,,,
Jump,2033503,1897421,2033503,136082,1.403079,0,,,,
LdaUndefined,2017920,1406560,2017920,611360,1.392327,0,,,,
LdaTrue,1795460,1692500,1795460,102960,1.238834,0,,,,
Wide,1766920,1758280,1766920,8640,1.219141,0,,,,
TestGreaterThanOrEqual,1596200,1596200,1596200,0,1.101348,0,,,,
ExtraWide,1232580,1232580,1232580,0,0.850457,0,,,,
TestLessThanOrEqual,1129720,1129720,1129720,0,0.779485,0,,,,
GetKeyedProperty,1108340,1108340,1108340,0,0.764734,0,,,,
JumpIfJSReceiver,1067180,1067180,1067180,0,0.736334,0,,,,
LdaZero,861344,855564,861344,5780,0.594311,0,,,,
TestTypeOf,731580,731580,731580,0,0.504776,0,,,,
Star,727280,694140,727280,33140,0.501809,0,,,,
Construct,705784,705784,705784,0,0.486978,0,,,,
Inc,608676,608676,608676,0,0.419975,0,,,,
JumpIfToBooleanFalseConstant,570340,520660,570340,49680,0.393524,0,,,,
JumpIfFalseConstant,528500,528500,528500,0,0.364655,0,,,,
Add,479048,411364,479048,67684,0.330534,0,,,,
SubSmi,410580,410580,410580,0,0.283292,0,,,,
TestGreaterThan,409680,409680,409680,0,0.282671,0,,,,
BitwiseAnd,391680,391680,391680,0,0.270252,0,,,,
Sub,380261,380261,380261,0,0.262373,0,,,,
JumpConstant,370120,370120,370120,0,0.255376,0,,,,
BitwiseOr,368640,368640,368640,0,0.254355,0,,,,
LdaGlobal,352246,345746,352246,6500,0.243043,0,,,,
JumpIfTrueConstant,349200,349200,349200,0,0.240941,0,,,,
AddSmi,223300,223300,223300,0,0.154073,0,,,,
SetKeyedProperty,176844,176844,176844,0,0.122019,0,,,,
TestReferenceEqual,147640,147640,147640,0,0.101869,0,,,,
LdaTheHole,147620,147620,147620,0,0.101855,0,,,,
