opcode,samples,estimated_ms,share_of_all_samples_pct,share_of_direct_js_samples_pct,share_of_handler_samples_pct,approx_relative_95pct_error_pct
GetNamedProperty,21,330.920695,11.170213,46.666667,46.666667,42.771
TestEqualStrict,4,63.032513,2.12766,8.888889,8.888889,98.0
TestLessThan,2,31.516257,1.06383,4.444444,4.444444,138.593
Star0,2,31.516257,1.06383,4.444444,4.444444,138.593
SetNamedProperty,2,31.516257,1.06383,4.444444,4.444444,138.593
Ldar,2,31.516257,1.06383,4.444444,4.444444,138.593
JumpIfFalse,1,15.758128,0.531915,2.222222,2.222222,196.0
Return,1,15.758128,0.531915,2.222222,2.222222,196.0
CallProperty1,1,15.758128,0.531915,2.222222,2.222222,196.0
JumpIfTrue,1,15.758128,0.531915,2.222222,2.222222,196.0
CallProperty0,1,15.758128,0.531915,2.222222,2.222222,196.0
JumpLoop,1,15.758128,0.531915,2.222222,2.222222,196.0
JumpIfToBooleanFalse,1,15.758128,0.531915,2.222222,2.222222,196.0
LdaSmi.Wide,1,15.758128,0.531915,2.222222,2.222222,196.0
TestGreaterThanOrEqual,1,15.758128,0.531915,2.222222,2.222222,196.0
LdaImmutableCurrentContextSlot,1,15.758128,0.531915,2.222222,2.222222,196.0
JumpIfToBooleanTrue,1,15.758128,0.531915,2.222222,2.222222,196.0
Add,1,15.758128,0.531915,2.222222,2.222222,196.0
